action,dest,file,final_size,method,original_size,reason,reduction_pct,success,type
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Engineering drawing/Engineering drawing web.pdf,138950,,138950,,,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Engineering drawing/Geometric_and_Engineering_Drawing.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Engineering drawing/Geometric_and_Engineering_Drawing.pdf,6445044,ghostscript,6445044,,0.0,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Engineering drawing/drawing.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Engineering drawing/drawing.pdf,16793887,ghostscript,21282959,,21.092330253514092,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Engineering drawing/Section_Views.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Engineering drawing/Section_Views.pdf,2001685,ghostscript,2038743,,1.817688644424531,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/GST 115/History and Functions of Library.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/History and Functions of Library.pdf,3799027,ghostscript,3799027,,0.0,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Geometric_and_Engineering_Drawing.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Geometric_and_Engineering_Drawing.pdf,6445044,ghostscript,6445044,,0.0,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Section_Views.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Section_Views.pdf,2001685,ghostscript,2038743,,1.817688644424531,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Engineering drawing/Manual of Engineering Drawing.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Engineering drawing/Manual of Engineering Drawing.pdf,16793887,ghostscript,21282959,,21.092330253514092,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 233/chp-00.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 233/chp-00.pdf,311260,ghostscript,323019,,3.640343137710167,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 233/chp-01.pdf,313177,,313177,,,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 233/chp-02.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 233/chp-02.pdf,504108,ghostscript,504108,,0.0,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Manual of Engineering Drawing.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Manual of Engineering Drawing.pdf,16793887,ghostscript,21282959,,21.092330253514092,True,pdf
